,User,Tweet
54,lala44black,#spumetoken #spumemarketplace #foxcampaigns #nft #nftart #nftcommunity #nfts #blockchain #crypto https://t.co/2PxdTHoBH0
55,belimbiing,"RT @CK_DAO: 🚨#Giveaway 50 whitelist spots 

- Follow 
@CK_DAO
 
- Like &amp; RT
- Tag Your Friends (1 tag = 1 entry)

Bonus Join the Discord:
h…"
56,BARUGANTIUNAME,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
57,Sohylasamurai2,RT @Subasasamuraei: و باز هم مثل همیشه سامورایی یعنی قهرمان. هرکسی با ما همراه باشد قهرمانی را لایق است بشتابید که ما حتما پیروز میشویم #RB…
58,cryptscp,Help in the Metaverse: 3E and College Now Greater Cleveland Make Completing the FAFSA Easier - 69News WFMZ-TV https://t.co/0ceR57e4OZ Buy BTC: https://t.co/NvvKJPmPAy #metaverse #crypto #nft #game #gamer #ecosystem https://t.co/imnzTQt2XZ
59,LazylionsEtc,"🚨PSA🚨

Remember that every new minter joining the Lazylions Pack will receive a FREE NFT just for becoming a holder!! Be sure to mint yours &amp; join today🥳

https://t.co/B1Uhp6dsDh

#NFT #NFTs #ETCARMY #NFTCommunity #blockchain #Airdrop #ETC #NFTdrop #NFTartist #nftart #crypto https://t.co/iguQacfnxf"
60,Yonix_NFT,"RT @yoniartnft: Running a crypto project is like having another baby &lt;3 Takes your time and energy at all hours, you need to make hard deci…"
61,Oktipurwanti_,"RT @laruaband: Hey guys, I stumbled upon this #NFT project... 
 
Ape2Earn is crazy 🚀
Join them!☀️

Prizes:
🏆5x Free NFT
🏆10x Whitelist

To…"
62,cryptscp,Troyton Rami goes viral with 'Metaverse' rhythm | Entertainment - Jamaica Star Online https://t.co/CGh3Na4YJJ Buy BTC: https://t.co/NvvKJPmPAy #metaverse #crypto #nft #blockchainbased #gamer #oculusrift
63,ahqoelng2,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
64,ETHMaxi_77,"RT @MoonKing___: Enter #NFT Renting and Earn Passive Income with $HAKA - @tribeonedefi ❗❗ 

Lands, In-Game Items and Characters are being c…"
65,Atharva7028,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
66,domainapebot,"RT @uddomains: For Sale Blockchain Domain!
Make an offer:
@opensea

BitcoinBroker.crypto

Make account with Unstoppable Domains! 👉
https://…"
67,JRocketNFT,"RT @CK_DAO: 🚨Giving away 15 Whitelist Spots 🚨

- Follow 
@CK_DAO
 
- Like &amp; RT  
- Tag Your Friends (1 tag = 1 entry)

Bonus Join the Disco…"
68,Juno_stakepool,"RT @InfinityVoid_io: THE WAIT WAS WORTH IT!
The map for A-2 Sector has been officially released.
Check out our website for more info!

#NFT…"
69,RusEl50257084,#NFTart #NFT #NewNFT #NewNFTartist #NFTs #CryptoCandles #CryptoCandlesNFT #Opensea #Crypto #Candles Crypto_Candles #0398 is added to Opensea! https://t.co/Tro3ktjraA via @opensea
70,hiwakirari,"I did it! I bought my first #NFT ever! I've never been more excited in my life! If I add this to my #NEXFI wallet with my staked $NXD, I'll get tons more USDT! Staking starts on 3/28! I can't wait!!!! Here's my cute little lawyer #daworkers!

#NexusDubai #Nexdius #Crypto #Staking https://t.co/qlXCtxVu0X"
71,jaypee50535700,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
72,SmithAnny14,"@DDreery Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEkbua https://t.co/8n9DDjEN25"
73,secci_NFT,"RT @A85947881A: gm🌅☀️
NFTを集めたいので
皆さんのNFT教えて下さい😋

Tell me ur NFT🖼🎁
#NFT #NFT宣伝枠  #NFT買います
#ETH #Crypto #ART #NFTs"
74,ari03_yusuf,"@ever_fund 
Super bullish project, presale will start soon LFG

#bnb #bsc #binance 
#P2E #NFT #playtoearn  #3d #staking #crypto #x1000 # #memecompetition #EverFund

Tg : @robertt_757"
75,alies606,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
76,MARVIN_INU2,"RT @Diamo_so: #MARVIN is the guarantee of your purchase 🔥

Join us 💎💎

@Marvin_Inu 🔥🔥

#crypto #LunarCrush #Marvin #NFT #BSC #BSCGem https:…"
77,JiraiyaWorldz,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
78,zarynoble,"RT @Subasasamuraei: あなたの未来だけでなく、あなたの子供たちの未来も私たちと一緒に保証してください。機会は一度来ます。＃RBXS
🌐https://t.co/qyzuXcPwPH
🎊 Suplay 💯 million 
#RBXS #RBXS #RBXSam…"
79,Anushka92799062,"RT @SpaceXMove: 🤩 $SXM Token SOLD OUT Seed Round! 🤩
3.5 Million Raised In Seed Rounds🔥

OUR IEO/IDO LAUNCH IN EARLY JUNE #TIER1 👀🌝

Stay tu…"
80,SmithAnny14,"@DDreery Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEkbua https://t.co/nVorWP9UdZ"
81,medicinecoin,"RT @HWdomains: **https://t.co/u5GqqOotKO** is for SALE!

#metaverse #meta #future #tech #crypto #AI #AR #VR #gaming #facebook #amazon #goog…"
82,Bitdream200k,"RT @babediepizza: Day 73 of telling the community and @elongateog that I love it

💙☃️☃️☃️                ❄️❄️❄️
💙☃️     ☃️🤍      🤍❄️
💙☃️☃️…"
83,Nafas_f77,"RT @Okami_mxsamurai: 💥What makes us different is the #RBXS with which we can make our plans and dreams come true.

▶️DEX : https://t.co/tnE…"
84,asjadali_ranjha,"RT @RigelNfts: 🚨Calling all #meme artists🚨
🏆5 #FreeNFTs (up to $7500 or 2.5 #ETH)

1️⃣Post your meme submission with ""@RigelNFTs #NFTs #Fre…"
85,666asli666,"RT @CodyCoolNFT: 💎#SolGiveaway💎

💰 1x 1 #SOL (100$)💰

To enter:

⚡Follow: @CodyCoolNFT
⚡Like and Rt 
⚡Tag 3 friends 

⭐RT &amp; Like Active Giv…"
86,2022hokibgt,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
87,SmithAnny14,"@DDreery Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEkbua https://t.co/HObdFkciVj"
88,Badman330055,"RT @SusanFloyd_: Good morning ☀️
Which #Crypto should I invest today? 🤔

#BNB #ETH #SOL #BTC #DeFi #NFT #Metaverse #ALTSEASON"
89,La_Criptoneta,"@cryptocom confirmsdo como uno de los patrocinadores del Mundial de Qatar 2022, un símbolo de la creciente influencia de las #criptomonedas en el mundo del fútbol.

#crypto #bitcoin #nft #qatar2022 #fifaworldcup #clasificatoriasqatar2022 #futbol #clasificatorias https://t.co/a097avI8Pd"
90,SmithAnny14,"@DDreery Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEkbua https://t.co/RUl8GNQUdx"
91,W1nW1nie,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
92,zarynoble,"RT @Shido_samuraii: هنر مارکتینگ را با تیم سامورایی ها بشناسید.
بازاریابی هنر ماست...
😎😎👥👥👥👍
🌐https://t.co/spTgOEOmdo

#RBXS #RBX #RBXSamur…"
93,crypticthreadz,"Estée Lauder to Offer Free Skin Serum NFT at Metaverse Fashion Week - https://t.co/HRacUQ72OL
#bitcoin #cryptocurrency #crypto #nft #news
https://t.co/XminntDEmr &lt;----JOIN https://t.co/vENz6ALLbA"
94,arman3646,"@CoolMiningGame This is an Unique and Impressive Project. I am impressed with this project. Without a doubt, this is one of the best project🥰🥰

@Ahadbd365
@sayeed723
@mdamdad21
@arman3646
@tanjilbd71

#Airdrop #Crypto #NFT #CoolMining"
95,SherstnevAntonS,"RT @AngelicTheGame: 👉🏻 #BlockchainGaming is taking the world by storm, and while we have some of our favorites, we want to know some of you…"
96,NFTDAOfficial,"🗳#Poll time: Which wallet do you often use?

Let us know more about you to perfect your experience with #Naffiti😊

#NFT #NFTcommunity #Wallet #Crypto #Blockchain"
97,AlInvestIOW,"RT @mrdavediamond: A dude just shared in a space that he’s quitting his stable 9-5 job…

Without #crypto trading experience, he’s taking fa…"
98,letspickmee,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
99,alxer_ego,#Uglies #NFT #Solana #cryptocurrency #crypto https://t.co/qoeVMvkpQF
100,squerncia,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
101,5995Exchange,"Earn now: https://t.co/PAx5eLOjpA⠀
Details: https://t.co/JYWFfAwWTX 
⠀
#crypto #cryptocurrency #kenya #asia #southafrica #nigeria #europe #5995exchange #blockchain #business #money #exchange #investing #ERC20 #cryptoholder #cryptoeducation #defi #nft #dogecoin #dogetoken https://t.co/BsnHbm3YOj"
102,ZeynepN02395780,"RT @bezoge: Last 3 days to join this week's 100 BILLION $BEZOGE GIVEAWAY.

Check our pinned tweet to join. 

HOW TO ENTER:
1️⃣ Like our Pin…"
103,SmithAnny14,"@FFVV1211 @BoredApeYC Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEkbua https://t.co/qPx3XABnke"
104,SelanikliTrk,"RT @DigiFinex: Trading Token: $SEDA @b2eland
Trading Time: Mar 30th 18:00 (GMT+8) 
#crypto #Bitcoin  #cryptocurrecy #play2earn #NFT #metave…"
105,Thewinner397,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
106,Man_Eaterz,"Fam 🦈 Phase 3 Theme: Ocean  🙌🏼😍

drop TOMORROW 💯‼️📍

#NFT #nftart #NFTdrop #NFTCommmunity #NFTCollection #ETH #Ethereum #Polygon #PolygonNFT #opensea #Crypto https://t.co/QrwreG8HRX"
107,zarynoble,"RT @Sam_samuraii: وقتي عشق و مهارت با هم هماهنگ مي شوند
انتظار یک شاهکار را داشته باشید.
در تیم مارکتینگ #RBXS عشق و مهارت در هم آمیخته شده…"
108,enhypenworld11,"RT @laruaband: Hey guys, I stumbled upon this #NFT project... 
 
Ape2Earn is crazy 🚀
Join them!☀️

Prizes:
🏆5x Free NFT
🏆10x Whitelist

To…"
109,01freedom4,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
110,Jimdov66,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
111,NftFansAgency,@BBoysStan we are dropping #DjHurricane #NFT collection soon on #OpenSea. Support icons in #HipHop. Own a piece of history on the #blockchain. Become a collector of #NFTs . #beastboys #caddy #metaverse #crypto #earphia FOLLOW BACK
112,tramanh57701879,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
113,Crypto_KAIJU,RT @zizouIOTA: According to this statistic by @soon_labs there were sold #NFTs worth more than 2 million $ in the first few weeks after the…
114,SmithAnny14,"@bazzlebrush4 @BoredApeYC Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEkbua https://t.co/R8ZjAs3Qcs"
115,shyampandit122,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
116,dazzlingbammiee,"RT @MoonKing___: Enter #NFT Renting and Earn Passive Income with $HAKA - @tribeonedefi ❗❗ 

Lands, In-Game Items and Characters are being c…"
117,rosello_rey,"RT @XrpWhales: GET FREE $10 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $10 USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tr…"
118,Texx83,"RT @DevourToken: There are many projects.  Finding one with the right team, utility, community, and tokenomics is difficult.  Enter @devour…"
119,NftFansAgency,@stackartist we are dropping #DjHurricane #NFT collection soon on #OpenSea. Support icons in #HipHop. Own a piece of history on the #blockchain. Become a collector of #NFTs . #beastboys #caddy #metaverse #crypto #earphia FOLLOW BACK
120,sectest9,"RT @HWdomains: **https://t.co/u5GqqOotKO** is for SALE!

#metaverse #meta #future #tech #crypto #AI #AR #VR #gaming #facebook #amazon #goog…"
121,SmithAnny14,"@LynnDan15371994 @ChiefraFba Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEkbua https://t.co/WkfF95G5oR"
122,HWdomains,"**https://t.co/u5GqqOotKO** is for SALE!

#metaverse #meta #future #tech #crypto #AI #AR #VR #gaming #facebook #amazon #google #apple #microsoft #spotify #virtual #virtualworlds #technology #podcasts #art #fashion #ecommerce #ads #digitalads #glasses #smartglasses #marketing #NFT https://t.co/vLmCyvwFsl"
123,StammlerMarcus,"RT @InfinityVoid_io: THE WAIT WAS WORTH IT!
The map for A-2 Sector has been officially released.
Check out our website for more info!

#NFT…"
124,adriano_crypto,"RT @EnergiStudios: The Smoke #EnergiDragon will be part of the upcoming #NFT collection released via @EnergiStudios

Join our #Discord Comm…"
125,NftFansAgency,@XRDSNexusWolf we are dropping #DjHurricane #NFT collection soon on #OpenSea. Support icons in #HipHop. Own a piece of history on the #blockchain. Become a collector of #NFTs . #beastboys #caddy #metaverse #crypto #earphia FOLLOW BACK
126,Cryptokingx_69,"RT @laruaband: Hey guys, I stumbled upon this #NFT project... 
 
Ape2Earn is crazy 🚀
Join them!☀️

Prizes:
🏆5x Free NFT
🏆10x Whitelist

To…"
127,joyeacityx,"RT @laruaband: Hey guys, I stumbled upon this #NFT project... 
 
Ape2Earn is crazy 🚀
Join them!☀️

Prizes:
🏆5x Free NFT
🏆10x Whitelist

To…"
128,nunkmukie,"RT @laruaband: Hey guys, I stumbled upon this #NFT project... 
 
Ape2Earn is crazy 🚀
Join them!☀️

Prizes:
🏆5x Free NFT
🏆10x Whitelist

To…"
129,bayu_p_,"RT @_MagicFriends: Win 3x free Asgardian Bulls Club #NFTs at our next AMA with the Bulls.

03/25/2022 at 11pm UTC / 7pm EST

Win 3x WL:
- R…"
130,SmithAnny14,"@LynnDan15371994 @ChiefraFba Without any doubt, this is one of the best project.🔥🔥🔥@cybertama_ $APE $Doge $SHIB #nft #crypto https://t.co/p25SLEjDEC https://t.co/MNFThyMAV2"
131,DalourKaka,"RT @SusanFloyd_: Good morning ☀️
Which #Crypto should I invest today? 🤔

#BNB #ETH #SOL #BTC #DeFi #NFT #Metaverse #ALTSEASON"
132,NftFansAgency,@aaRonDiggity we are dropping #DjHurricane #NFT collection soon on #OpenSea. Support icons in #HipHop. Own a piece of history on the #blockchain. Become a collector of #NFTs . #beastboys #caddy #metaverse #crypto #earphia FOLLOW BACK
